😀,face | grin
🚵‍♀️,bicycle | bike | biking | cyclist | mountain | woman
🚵🏻‍♀️,bicycle | bike | biking | cyclist | light skin tone | mountain | woman
🚵🏼‍♀️,bicycle | bike | biking | cyclist | medium-light skin tone | mountain | woman
🚵🏽‍♀️,bicycle | bike | biking | cyclist | medium skin tone | mountain | woman
🚵🏾‍♀️,bicycle | bike | biking | cyclist | medium-dark skin tone | mountain | woman
🚵🏿‍♀️,bicycle | bike | biking | cyclist | dark skin tone | mountain | woman
🏎,car | racing
🏍,racing
🤸,cartwheel | gymnastics
🤸🏻,cartwheel | gymnastics | light skin tone
🤸🏼,cartwheel | gymnastics | medium-light skin tone
🤸🏽,cartwheel | gymnastics | medium skin tone
🤸🏾,cartwheel | gymnastics | medium-dark skin tone
🤸🏿,cartwheel | dark skin tone | gymnastics
🤸‍♂️,cartwheel | gymnastics | man
🤸🏻‍♂️,cartwheel | gymnastics | light skin tone | man
🤸🏼‍♂️,cartwheel | gymnastics | man | medium-light skin tone
🤸🏽‍♂️,cartwheel | gymnastics | man | medium skin tone
🤸🏾‍♂️,cartwheel | gymnastics | man | medium-dark skin tone
🤸🏿‍♂️,cartwheel | dark skin tone | gymnastics | man
🤸‍♀️,cartwheel | gymnastics | woman
🤸🏻‍♀️,cartwheel | gymnastics | light skin tone | woman
🤸🏼‍♀️,cartwheel | gymnastics | medium-light skin tone | woman
🤸🏽‍♀️,cartwheel | gymnastics | medium skin tone | woman
🤸🏾‍♀️,cartwheel | gymnastics | medium-dark skin tone | woman
🤸🏿‍♀️,cartwheel | dark skin tone | gymnastics | woman
🤼,wrestle | wrestler
🤼‍♂️,men | wrestle
🤼‍♀️,women | wrestle
🤽,polo | water
🤽🏻,light skin tone | polo | water
🤽🏼,medium-light skin tone | polo | water
🤽🏽,medium skin tone | polo | water
🤽🏾,medium-dark skin tone | polo | water
🤽🏿,dark skin tone | polo | water
🤽‍♂️,man | water polo
🤽🏻‍♂️,light skin tone | man | water polo
🤽🏼‍♂️,man | medium-light skin tone | water polo
🤽🏽‍♂️,man | medium skin tone | water polo
🤽🏾‍♂️,man | medium-dark skin tone | water polo
🤽🏿‍♂️,dark skin tone | man | water polo
🤽‍♀️,water polo | woman
🤽🏻‍♀️,light skin tone | water polo | woman
🤽🏼‍♀️,medium-light skin tone | water polo | woman
🤽🏽‍♀️,medium skin tone | water polo | woman
🤽🏾‍♀️,medium-dark skin tone | water polo | woman
🤽🏿‍♀️,dark skin tone | water polo | woman
🤾,ball | handball
🤾🏻,ball | handball | light skin tone
🤾🏼,ball | handball | medium-light skin tone
🤾🏽,ball | handball | medium skin tone
🤾🏾,ball | handball | medium-dark skin tone
🤾🏿,ball | dark skin tone | handball
🤾‍♂️,handball | man
🤾🏻‍♂️,handball | light skin tone | man
🤾🏼‍♂️,handball | man | medium-light skin tone
🤾🏽‍♂️,handball | man | medium skin tone
🤾🏾‍♂️,handball | man | medium-dark skin tone
🤾🏿‍♂️,dark skin tone | handball | man
🤾‍♀️,handball | woman
🤾🏻‍♀️,handball | light skin tone | woman
🤾🏼‍♀️,handball | medium-light skin tone | woman
🤾🏽‍♀️,handball | medium skin tone | woman
🤾🏾‍♀️,handball | medium-dark skin tone | woman
🤾🏿‍♀️,dark skin tone | handball | woman
🤹,balance | juggle | multitask | skill
🤹🏻,balance | juggle | light skin tone | multitask | skill
🤹🏼,balance | juggle | medium-light skin tone | multitask | skill
🤹🏽,balance | juggle | medium skin tone | multitask | skill
🤹🏾,balance | juggle | medium-dark skin tone | multitask | skill
🤹🏿,balance | dark skin tone | juggle | multitask | skill
🤹‍♂️,juggling | man | multitask
🤹🏻‍♂️,juggling | light skin tone | man | multitask
🤹🏼‍♂️,juggling | man | medium-light skin tone | multitask
🤹🏽‍♂️,juggling | man | medium skin tone | multitask
🤹🏾‍♂️,juggling | man | medium-dark skin tone | multitask
🤹🏿‍♂️,dark skin tone | juggling | man | multitask
🤹‍♀️,juggling | multitask | woman
🤹🏻‍♀️,juggling | light skin tone | multitask | woman
🤹🏼‍♀️,juggling | medium-light skin tone | multitask | woman
🤹🏽‍♀️,juggling | medium skin tone | multitask | woman
🤹🏾‍♀️,juggling | medium-dark skin tone | multitask | woman
🤹🏿‍♀️,dark skin tone | juggling | multitask | woman
👫,couple | hand | hold | man | woman
👬,Gemini | couple | hand | hold | man | twins | zodiac
👭,couple | hand | hold | woman
💏,couple
👩‍❤️‍💋‍👨,couple | man | woman
👨‍❤️‍💋‍👨,couple | man
👩‍❤️‍💋‍👩,couple | woman
💑,couple | love
👩‍❤️‍👨,couple | love | man | woman
👨‍❤️‍👨,couple | love | man
👩‍❤️‍👩,couple | love | woman
👪,family
👨‍👩‍👦,boy | family | man | woman
👨‍👩‍👧,family | girl | man | woman
👨‍👩‍👧‍👦,boy | family | girl | man | woman
👨‍👩‍👦‍👦,boy | family | man | woman
👨‍👩‍👧‍👧,family | girl | man | woman
👨‍👨‍👦,boy | family | man
👨‍👨‍👧,family | girl | man
👨‍👨‍👧‍👦,boy | family | girl | man
👨‍👨‍👦‍👦,boy | family | man
👨‍👨‍👧‍👧,family | girl | man
👩‍👩‍👦,boy | family | woman
👩‍👩‍👧,family | girl | woman
👩‍👩‍👧‍👦,boy | family | girl | woman
👩‍👩‍👦‍👦,boy | family | woman
👩‍👩‍👧‍👧,family | girl | woman
👨‍👦,boy | family | man
👨‍👦‍👦,boy | family | man
👨‍👧,family | girl | man
👨‍👧‍👦,boy | family | girl | man
👨‍👧‍👧,family | girl | man
👩‍👦,boy | family | woman
👩‍👦‍👦,boy | family | woman
👩‍👧,family | girl | woman
👩‍👧‍👦,boy | family | girl | woman
👩‍👧‍👧,family | girl | woman
🤳,camera | phone | selfie
🤳🏻,camera | light skin tone | phone | selfie
🤳🏼,camera | medium-light skin tone | phone | selfie
🤳🏽,camera | medium skin tone | phone | selfie
🤳🏾,camera | medium-dark skin tone | phone | selfie
🤳🏿,camera | dark skin tone | phone | selfie
💪,biceps | comic | flex | muscle
💪🏻,biceps | comic | flex | light skin tone | muscle
💪🏼,biceps | comic | flex | medium-light skin tone | muscle
💪🏽,biceps | comic | flex | medium skin tone | muscle
💪🏾,biceps | comic | flex | medium-dark skin tone | muscle
💪🏿,biceps | comic | dark skin tone | flex | muscle
👈,backhand | finger | hand | index | point
👈🏻,backhand | finger | hand | index | light skin tone | point
👈🏼,backhand | finger | hand | index | medium-light skin tone | point
👈🏽,backhand | finger | hand | index | medium skin tone | point
👈🏾,backhand | finger | hand | index | medium-dark skin tone | point
👈🏿,backhand | dark skin tone | finger | hand | index | point
👉,backhand | finger | hand | index | point
👉🏻,backhand | finger | hand | index | light skin tone | point
👉🏼,backhand | finger | hand | index | medium-light skin tone | point
👉🏽,backhand | finger | hand | index | medium skin tone | point
👉🏾,backhand | finger | hand | index | medium-dark skin tone | point
👉🏿,backhand | dark skin tone | finger | hand | index | point
☝,finger | hand | index | point | up
☝🏻,finger | hand | index | light skin tone | point | up
☝🏼,finger | hand | index | medium-light skin tone | point | up
☝🏽,finger | hand | index | medium skin tone | point | up
☝🏾,finger | hand | index | medium-dark skin tone | point | up
☝🏿,dark skin tone | finger | hand | index | point | up
👆,backhand | finger | hand | index | point | up
👆🏻,backhand | finger | hand | index | light skin tone | point | up
👆🏼,backhand | finger | hand | index | medium-light skin tone | point | up
👆🏽,backhand | finger | hand | index | medium skin tone | point | up
👆🏾,backhand | finger | hand | index | medium-dark skin tone | point | up
👆🏿,backhand | dark skin tone | finger | hand | index | point | up
🖕,finger | hand
🖕🏻,finger | hand | light skin tone
🖕🏼,finger | hand | medium-light skin tone
🖕🏽,finger | hand | medium skin tone
🖕🏾,finger | hand | medium-dark skin tone
🖕🏿,dark skin tone | finger | hand
👇,backhand | down | finger | hand | index | point
👇🏻,backhand | down | finger | hand | index | light skin tone | point
👇🏼,backhand | down | finger | hand | index | medium-light skin tone | point
👇🏽,backhand | down | finger | hand | index | medium skin tone | point
👇🏾,backhand | down | finger | hand | index | medium-dark skin tone | point
👇🏿,backhand | dark skin tone | down | finger | hand | index | point
✌,hand | v | victory
✌🏻,hand | light skin tone | v | victory
✌🏼,hand | medium-light skin tone | v | victory
✌🏽,hand | medium skin tone | v | victory
✌🏾,hand | medium-dark skin tone | v | victory
✌🏿,dark skin tone | hand | v | victory
🤞,cross | finger | hand | luck
🤞🏻,cross | finger | hand | light skin tone | luck
🤞🏼,cross | finger | hand | luck | medium-light skin tone
🤞🏽,cross | finger | hand | luck | medium skin tone
🤞🏾,cross | finger | hand | luck | medium-dark skin tone
🤞🏿,cross | dark skin tone | finger | hand | luck
🖖,finger | hand | spock | vulcan
🖖🏻,finger | hand | light skin tone | spock | vulcan
🖖🏼,finger | hand | medium-light skin tone | spock | vulcan
🖖🏽,finger | hand | medium skin tone | spock | vulcan
🖖🏾,finger | hand | medium-dark skin tone | spock | vulcan
🖖🏿,dark skin tone | finger | hand | spock | vulcan
🤘,finger | hand | horns | rock-on
🤘🏻,finger | hand | horns | light skin tone | rock-on
🤘🏼,finger | hand | horns | medium-light skin tone | rock-on
🤘🏽,finger | hand | horns | medium skin tone | rock-on
🤘🏾,finger | hand | horns | medium-dark skin tone | rock-on
🤘🏿,dark skin tone | finger | hand | horns | rock-on
🤙,call | hand
🤙🏻,call | hand | light skin tone
🤙🏼,call | hand | medium-light skin tone
🤙🏽,call | hand | medium skin tone
🤙🏾,call | hand | medium-dark skin tone
🤙🏿,call | dark skin tone | hand
🖐,finger | hand | splayed
🖐🏻,finger | hand | light skin tone | splayed
🖐🏼,finger | hand | medium-light skin tone | splayed
🖐🏽,finger | hand | medium skin tone | splayed
🖐🏾,finger | hand | medium-dark skin tone | splayed
🖐🏿,dark skin tone | finger | hand | splayed
✋,hand
✋🏻,hand | light skin tone
✋🏼,hand | medium-light skin tone
✋🏽,hand | medium skin tone
✋🏾,hand | medium-dark skin tone
✋🏿,dark skin tone | hand
👌,OK | hand
👌🏻,OK | hand | light skin tone
👌🏼,OK | hand | medium-light skin tone
👌🏽,OK | hand | medium skin tone
👌🏾,OK | hand | medium-dark skin tone
👌🏿,OK | dark skin tone | hand
👍,+1 | hand | thumb | up
👍🏻,+1 | hand | light skin tone | thumb | up
👍🏼,+1 | hand | medium-light skin tone | thumb | up
👍🏽,+1 | hand | medium skin tone | thumb | up
👍🏾,+1 | hand | medium-dark skin tone | thumb | up
👍🏿,+1 | dark skin tone | hand | thumb | up
👎,-1 | down | hand | thumb
👎🏻,-1 | down | hand | light skin tone | thumb
👎🏼,-1 | down | hand | medium-light skin tone | thumb
👎🏽,-1 | down | hand | medium skin tone | thumb
👎🏾,-1 | down | hand | medium-dark skin tone | thumb
👎🏿,-1 | dark skin tone | down | hand | thumb
✊,clenched | fist | hand | punch
✊🏻,clenched | fist | hand | light skin tone | punch
✊🏼,clenched | fist | hand | medium-light skin tone | punch
✊🏽,clenched | fist | hand | medium skin tone | punch
✊🏾,clenched | fist | hand | medium-dark skin tone | punch
✊🏿,clenched | dark skin tone | fist | hand | punch
👊,clenched | fist | hand | punch
👊🏻,clenched | fist | hand | light skin tone | punch
👊🏼,clenched | fist | hand | medium-light skin tone | punch
👊🏽,clenched | fist | hand | medium skin tone | punch
👊🏾,clenched | fist | hand | medium-dark skin tone | punch
👊🏿,clenched | dark skin tone | fist | hand | punch
🤛,fist | leftwards
🤛🏻,fist | leftwards | light skin tone
🤛🏼,fist | leftwards | medium-light skin tone
🤛🏽,fist | leftwards | medium skin tone
🤛🏾,fist | leftwards | medium-dark skin tone
🤛🏿,dark skin tone | fist | leftwards
🤜,fist | rightwards
🤜🏻,fist | light skin tone | rightwards
🤜🏼,fist | medium-light skin tone | rightwards
🤜🏽,fist | medium skin tone | rightwards
🤜🏾,fist | medium-dark skin tone | rightwards
🤜🏿,dark skin tone | fist | rightwards
🤚,backhand | raised
🤚🏻,backhand | light skin tone | raised
🤚🏼,backhand | medium-light skin tone | raised
🤚🏽,backhand | medium skin tone | raised
🤚🏾,backhand | medium-dark skin tone | raised
🤚🏿,backhand | dark skin tone | raised
👋,hand | wave | waving
👋🏻,hand | light skin tone | wave | waving
👋🏼,hand | medium-light skin tone | wave | waving
👋🏽,hand | medium skin tone | wave | waving
👋🏾,hand | medium-dark skin tone | wave | waving
👋🏿,dark skin tone | hand | wave | waving
🤟,ILY | hand
🤟🏻,ILY | hand | light skin tone
🤟🏼,ILY | hand | medium-light skin tone
🤟🏽,ILY | hand | medium skin tone
🤟🏾,ILY | hand | medium-dark skin tone
🤟🏿,ILY | dark skin tone | hand
✍,hand | write
✍🏻,hand | light skin tone | write
✍🏼,hand | medium-light skin tone | write
✍🏽,hand | medium skin tone | write
✍🏾,hand | medium-dark skin tone | write
✍🏿,dark skin tone | hand | write
👏,clap | hand
👏🏻,clap | hand | light skin tone
👏🏼,clap | hand | medium-light skin tone
👏🏽,clap | hand | medium skin tone
👏🏾,clap | hand | medium-dark skin tone
👏🏿,clap | dark skin tone | hand
👐,hand | open
👐🏻,hand | light skin tone | open
👐🏼,hand | medium-light skin tone | open
👐🏽,hand | medium skin tone | open
👐🏾,hand | medium-dark skin tone | open
👐🏿,dark skin tone | hand | open
🙌,celebration | gesture | hand | hooray | raised
🙌🏻,celebration | gesture | hand | hooray | light skin tone | raised
🙌🏼,celebration | gesture | hand | hooray | medium-light skin tone | raised
🙌🏽,celebration | gesture | hand | hooray | medium skin tone | raised
🙌🏾,celebration | gesture | hand | hooray | medium-dark skin tone | raised
🙌🏿,celebration | dark skin tone | gesture | hand | hooray | raised
🤲,prayer | <span class="keye">cupped hands</span>
🤲🏻,light skin tone | prayer
🤲🏼,medium-light skin tone | prayer
🤲🏽,medium skin tone | prayer
🤲🏾,medium-dark skin tone | prayer
🤲🏿,dark skin tone | prayer
🙏,ask | bow | folded | gesture | hand | please | pray | thanks
🙏🏻,ask | bow | folded | gesture | hand | light skin tone | please | pray | thanks
🙏🏼,ask | bow | folded | gesture | hand | medium-light skin tone | please | pray | thanks
🙏🏽,ask | bow | folded | gesture | hand | medium skin tone | please | pray | thanks
🙏🏾,ask | bow | folded | gesture | hand | medium-dark skin tone | please | pray | thanks
🙏🏿,ask | bow | dark skin tone | folded | gesture | hand | please | pray | thanks
🤝,agreement | hand | handshake | meeting | shake
💅,care | cosmetics | manicure | nail | polish
💅🏻,care | cosmetics | light skin tone | manicure | nail | polish
💅🏼,care | cosmetics | manicure | medium-light skin tone | nail | polish
💅🏽,care | cosmetics | manicure | medium skin tone | nail | polish
💅🏾,care | cosmetics | manicure | medium-dark skin tone | nail | polish
💅🏿,care | cosmetics | dark skin tone | manicure | nail | polish
👂,body
👂🏻,body | light skin tone
👂🏼,body | medium-light skin tone
👂🏽,body | medium skin tone
👂🏾,body | medium-dark skin tone
👂🏿,body | dark skin tone
👃,body
👃🏻,body | light skin tone
👃🏼,body | medium-light skin tone
👃🏽,body | medium skin tone
👃🏾,body | medium-dark skin tone
👃🏿,body | dark skin tone
👣,clothing | footprint | print
👀,eye | face
👁,body
👁️‍🗨️,eye | speech bubble | witness
🧠,intelligent
👅,body
👄,lips
💋,kiss | lips
💘,arrow | cupid
❤,heart
💓,beating | heartbeat | pulsating
💔,break | broken
💕,love
💖,excited | sparkle
💗,excited | growing | nervous | pulse
💙,blue
💚,green
💛,yellow
🧡,
💜,purple
🖤,black | evil | wicked
💝,ribbon | valentine
💞,revolving
💟,heart
❣,exclamation | mark | punctuation
💌,heart | letter | love | mail
💤,comic | sleep
💢,angry | comic | mad
💣,comic
💥,boom | comic
💦,comic | splashing | sweat
💨,comic | dash | running
💫,comic | star
💬,balloon | bubble | comic | dialog | speech
🗨,dialog | speech
🗯,angry | balloon | bubble | mad
💭,balloon | bubble | comic | thought
🕳,hole
👓,clothing | eye | eyeglasses | eyewear
🕶,dark | eye | eyewear | glasses
👔,clothing
👕,clothing | shirt | tshirt
👖,clothing | pants | trousers
🧣,neck
🧤,
🧥,jacket
🧦,
👗,clothing
👘,clothing
👙,clothing | swim
👚,clothing | woman
👛,clothing | coin
👜,bag | clothing | purse
👝,bag | clothing | pouch
🛍,bag | hotel | shopping
🎒,bag | satchel | school
👞,clothing | man | shoe
👟,athletic | clothing | shoe | sneaker
👠,clothing | heel | shoe | woman
👡,clothing | sandal | shoe | woman
👢,boot | clothing | shoe | woman
👑,clothing | king | queen
👒,clothing | hat | woman
🎩,clothing | hat | top | tophat
🎓,cap | celebration | clothing | graduation | hat
🧢,baseball cap
⛑,aid | cross | face | hat | helmet
📿,beads | clothing | necklace | prayer | religion
💄,cosmetics | makeup
💍,diamond
💎,diamond | gem | jewel
🐵,face | monkey
🐒,monkey
🦍,gorilla
🐶,dog | face | pet
🐕,pet
🐩,dog
🐺,face | wolf
🦊,face | fox
🐱,cat | face | pet
🐈,pet
🦁,Leo | face | lion | zodiac
🐯,face | tiger
🐅,tiger
🐆,leopard
🐴,face | horse
🐎,equestrian | racehorse | racing
🦄,face | unicorn
🦓,
🦌,deer
🐮,cow | face
🐂,Taurus | bull | zodiac
🐃,buffalo | water
🐄,cow
🐷,face | pig
🐖,sow
🐗,pig
🐽,face | nose | pig
🐏,Aries | male | sheep | zodiac
🐑,female | sheep
🐐,Capricorn | zodiac
🐪,dromedary | hump
🐫,bactrian | camel | hump
🦒,
🐘,elephant
🦏,rhinoceros
🐭,face | mouse
🐁,mouse
🐀,rat
🐹,face | hamster | pet
🐰,bunny | face | pet | rabbit
🐇,bunny | pet
🐿,chipmunk
🦔,
🦇,bat | vampire
🐻,bear | face
🐨,bear
🐼,face | panda
🐾,feet | paw | print
🦃,bird | turkey
🐔,bird | chicken
🐓,bird | rooster
🐣,baby | bird | chick | hatching
🐤,baby | bird | chick
🐥,baby | bird | chick
🐦,bird
🐧,bird | penguin
🕊,bird | fly | peace
🦅,bird | eagle
🦆,bird | duck
🦉,bird | owl | wise
🐸,face | frog
🐊,crocodile
🐢,terrapin | tortoise | turtle
🦎,lizard | reptile
🐍,Ophiuchus | bearer | serpent | zodiac
🐲,dragon | face | fairy tale
🐉,fairy tale
🦕,brachiosaurus | brontosaurus | diplodocus
🦖,Tyrannosaurus Rex
🐳,face | spouting | whale
🐋,whale
🐬,flipper
🐟,Pisces | zodiac
🐠,fish | tropical
🐡,fish
🦈,fish | shark
🐙,octopus
🐚,shell | spiral
🦀,Cancer | zodiac
🦐,food | shellfish | shrimp | small
🦑,food | molusc | squid
🐌,snail
🦋,butterfly | insect | pretty
🐛,insect
🐜,insect
🐝,bee | insect
🐞,beetle | insect | ladybird | ladybug
🦗,<span class="keye">Orthoptera</span>
🕷,insect
🕸,spider | web
🦂,Scorpius | scorpio | zodiac
💐,flower
🌸,blossom | cherry | flower
💮,flower
🏵,plant
🌹,flower
🥀,flower | wilted
🌺,flower
🌻,flower | sun
🌼,flower
🌷,flower
🌱,young
🌲,tree
🌳,deciduous | shedding | tree
🌴,palm | tree
🌵,plant
🌾,ear | grain | rice
🌿,leaf
☘,plant
🍀,4 | clover | four | leaf
🍁,falling | leaf | maple
🍂,falling | leaf
🍃,blow | flutter | leaf | wind
🍇,fruit | grape
🍈,fruit
🍉,fruit
🍊,fruit | orange
🍋,citrus | fruit
🍌,fruit
🍍,fruit
🍎,apple | fruit | red
🍏,apple | fruit | green
🍐,fruit
🍑,fruit
🍒,cherry | fruit
🍓,berry | fruit
🥝,food | fruit | kiwi
🍅,fruit | vegetable
🥥,
🥑,avocado | food | fruit
🍆,aubergine | vegetable
🥔,food | potato | vegetable
🥕,carrot | food | vegetable
🌽,corn | ear | maize | maze
🌶,hot | pepper
🥒,cucumber | food | pickle | vegetable
🥦,
🍄,toadstool
🥜,food | nut | peanut | vegetable
🌰,plant
🍞,loaf
🥐,bread | crescent roll | croissant | food | french
🥖,baguette | bread | food | french
🥨,twisted | <span class="keye">convoluted</span>
🥞,crêpe | food | hotcake | pancake
🧀,cheese
🍖,bone | meat
🍗,bone | chicken | leg | poultry
🥩,chop | lambchop | porkchop | steak
🥓,bacon | food | meat
🍔,burger
🍟,french | fries
🍕,cheese | slice
🌭,frankfurter | hotdog | sausage
🥪,
🌮,mexican
🌯,mexican | wrap
🥙,falafel | flatbread | food | gyro | kebab | stuffed
🥚,egg | food
🍳,egg | frying | pan
🥘,casserole | food | paella | pan | shallow
🍲,pot | stew
🥣,breakfast | cereal | congee | <span class="keye">oatmeal</span> | <span class="keye">porridge</span>
🥗,food | green | salad
🍿,popcorn
🥫,can
🍱,bento | box
🍘,cracker | rice
🍙,Japanese | ball | rice
🍚,cooked | rice
🍛,curry | rice
🍜,bowl | noodle | ramen | steaming
🍝,pasta
🍠,potato | roasted | sweet
🍢,kebab | seafood | skewer | stick
🍣,sushi
🍤,fried | prawn | shrimp | tempura
🍥,cake | fish | pastry | swirl
🍡,Japanese | dessert | skewer | stick | sweet
🥟,empanada | gyōza | jiaozi | pierogi | potsticker
🥠,
🥡,oyster pail
🍦,cream | dessert | ice | icecream | soft | sweet
🍧,dessert | ice | shaved | sweet
🍨,cream | dessert | ice | sweet
🍩,dessert | donut | sweet
🍪,dessert | sweet
🎂,birthday | cake | celebration | dessert | pastry | sweet
🍰,cake | dessert | pastry | slice | sweet
🥧,<span class="keye">fruit</span> | <span class="keye">meat</span>
🍫,bar | chocolate | dessert | sweet
🍬,dessert | sweet
🍭,candy | dessert | sweet
🍮,dessert | pudding | sweet
🍯,honey | honeypot | pot | sweet
🍼,baby | bottle | drink | milk
🥛,drink | glass | milk
☕,beverage | coffee | drink | hot | steaming | tea
🍵,beverage | cup | drink | tea | teacup
🍶,bar | beverage | bottle | cup | drink
🍾,bar | bottle | cork | drink | popping
🍷,bar | beverage | drink | glass | wine
🍸,bar | cocktail | drink | glass
🍹,bar | drink | tropical
🍺,bar | beer | drink | mug
🍻,bar | beer | clink | drink | mug
🥂,celebrate | clink | drink | glass
🥃,glass | liquor | shot | tumbler | whisky
🥤,juice | soda | <span class="keye">malt</span> | <span class="keye">soft drink</span> | <span class="keye">water</span>
🥢,hashi | <span class="keye">jeotgarak</span> | <span class="keye">kuaizi</span>
🍽,cooking | fork | knife | plate
🍴,cooking | fork | knife
🥄,spoon | tableware
🔪,cooking | hocho | knife | tool | weapon
🏺,Aquarius | cooking | drink | jug | tool | weapon | zodiac
🌍,Africa | Europe | earth | globe | world
🌎,Americas | earth | globe | world
🌏,Asia | Australia | earth | globe | world
🌐,earth | globe | meridians | world
🗺,map | world
🗾,Japan | map
🏔,cold | mountain | snow
⛰,mountain
🌋,eruption | mountain
🗻,fuji | mountain
🏕,camping
🏖,beach | umbrella
🏜,desert
🏝,desert | island
🏞,park
🏟,stadium
🏛,classical
🏗,construction
🏘,houses
🏙,city
🏚,derelict | house
🏠,home | house
🏡,garden | home | house
🏢,building
🏣,Japanese | post
🏤,European | post
🏥,doctor | medicine
🏦,building
🏨,building
🏩,hotel | love
🏪,convenience | store
🏫,building
🏬,department | store
🏭,building
🏯,Japanese | castle
🏰,European
💒,chapel | romance
🗼,Tokyo | tower
🗽,liberty | statue
⛪,Christian | cross | religion
🕌,Muslim | islam | religion
🕍,Jew | Jewish | religion | temple
⛩,religion | shinto | shrine
🕋,Muslim | islam | religion
⛲,fountain
⛺,camping
🌁,fog
🌃,night | star
🌄,morning | mountain | sun | sunrise
🌅,morning | sun
🌆,city | dusk | evening | landscape | sun | sunset
🌇,dusk | sun
🌉,bridge | night
♨,hot | hotsprings | springs | steaming
🌌,space
🎠,carousel | horse
🎡,amusement park | ferris | wheel
🎢,amusement park | coaster | roller
💈,barber | haircut | pole
🎪,circus | tent
🎭,art | mask | performing | theater | theatre
🖼,art | frame | museum | painting | picture
🎨,art | museum | painting | palette
🎰,game | slot
🚂,engine | railway | steam | train
🚃,car | electric | railway | train | tram | trolleybus
🚄,railway | shinkansen | speed | train
🚅,bullet | railway | shinkansen | speed | train
🚆,railway
🚇,subway
🚈,railway
🚉,railway | train
🚊,trolleybus
🚝,vehicle
🚞,car | mountain | railway
🚋,car | tram | trolleybus
🚌,vehicle
🚍,bus | oncoming
🚎,bus | tram | trolley
🚐,bus
🚑,vehicle
🚒,engine | fire | truck
🚓,car | patrol | police
🚔,car | oncoming | police
🚕,vehicle
🚖,oncoming | taxi
🚗,car
🚘,automobile | car | oncoming
🚙,recreational | sport utility
🚚,delivery | truck
🚛,lorry | semi | truck
🚜,vehicle
🚲,bike
🛴,kick | scooter
🛵,motor | scooter
🚏,bus | busstop | stop
🛣,highway | road
🛤,railway | train
⛽,fuel | fuelpump | gas | pump | station
🚨,beacon | car | light | police | revolving
🚥,light | signal | traffic
🚦,light | signal | traffic
🚧,barrier
🛑,octagonal | sign | stop
⚓,ship | tool
⛵,boat | resort | sea | yacht
🛶,boat | canoe
🚤,boat
🛳,passenger | ship
⛴,boat | passenger
🛥,boat | motorboat
🚢,boat | passenger
✈,aeroplane | airplane
🛩,aeroplane | airplane
🛫,aeroplane | airplane | check-in | departure | departures
🛬,aeroplane | airplane | arrivals | arriving | landing
💺,chair
🚁,vehicle
🚟,railway | suspension
🚠,cable | gondola | mountain
🚡,aerial | cable | car | gondola | tramway
🛰,space
🚀,space
🛸,UFO
🛎,bell | bellhop | hotel
🚪,door
🛏,hotel | sleep
🛋,couch | hotel | lamp
🚽,toilet
🚿,water
🛁,bath
⌛,sand | timer
⏳,hourglass | sand | timer
⌚,clock
⏰,alarm | clock
⏱,clock
⏲,clock | timer
🕰,clock
🕛,00 | 12 | 12:00 | clock | o’clock | twelve
🕧,12 | 12:30 | 30 | clock | thirty | twelve
🕐,00 | 1 | 1:00 | clock | one | o’clock
🕜,1 | 1:30 | 30 | clock | one | thirty
🕑,00 | 2 | 2:00 | clock | o’clock | two
🕝,2 | 2:30 | 30 | clock | thirty | two
🕒,00 | 3 | 3:00 | clock | o’clock | three
🕞,3 | 30 | 3:30 | clock | thirty | three
🕓,00 | 4 | 4:00 | clock | four | o’clock
🕟,30 | 4 | 4:30 | clock | four | thirty
🕔,00 | 5 | 5:00 | clock | five | o’clock
🕠,30 | 5 | 5:30 | clock | five | thirty
🕕,00 | 6 | 6:00 | clock | o’clock | six
🕡,30 | 6 | 6:30 | clock | six | thirty
🕖,00 | 7 | 7:00 | clock | o’clock | seven
🕢,30 | 7 | 7:30 | clock | seven | thirty
🕗,00 | 8 | 8:00 | clock | eight | o’clock
🕣,30 | 8 | 8:30 | clock | eight | thirty
🕘,00 | 9 | 9:00 | clock | nine | o’clock
🕤,30 | 9 | 9:30 | clock | nine | thirty
🕙,00 | 10 | 10:00 | clock | o’clock | ten
🕥,10 | 10:30 | 30 | clock | ten | thirty
🕚,00 | 11 | 11:00 | clock | eleven | o’clock
🕦,11 | 11:30 | 30 | clock | eleven | thirty
🌑,dark | moon
🌒,crescent | moon | waxing
🌓,moon | quarter
🌔,gibbous | moon | waxing
🌕,full | moon
🌖,gibbous | moon | waning
🌗,moon | quarter
🌘,crescent | moon | waning
🌙,crescent | moon
🌚,face | moon
🌛,face | moon | quarter
🌜,face | moon | quarter
🌡,weather
☀,bright | rays | sunny
🌝,bright | face | full | moon
🌞,bright | face | sun
⭐,star
🌟,glittery | glow | shining | sparkle | star
🌠,falling | shooting | star
☁,weather
⛅,cloud | sun
⛈,cloud | rain | thunder
🌤,cloud | sun
🌥,cloud | sun
🌦,cloud | rain | sun
🌧,cloud | rain
🌨,cloud | cold | snow
🌩,cloud | lightning
🌪,cloud | whirlwind
🌫,cloud
🌬,blow | cloud | face | wind
🌀,dizzy | twister | typhoon
🌈,rain
🌂,clothing | rain | umbrella
☂,clothing | rain
☔,clothing | drop | rain | umbrella
⛱,rain | sun | umbrella
⚡,danger | electric | electricity | lightning | voltage | zap
❄,cold | snow
☃,cold | snow
⛄,cold | snow | snowman
☄,space
🔥,flame | tool
