😀,face | grin
👨🏿‍⚖️,dark skin tone | justice | man | scales
👩‍⚖️,judge | scales | woman
👩🏻‍⚖️,judge | light skin tone | scales | woman
👩🏼‍⚖️,judge | medium-light skin tone | scales | woman
👩🏽‍⚖️,judge | medium skin tone | scales | woman
👩🏾‍⚖️,judge | medium-dark skin tone | scales | woman
👩🏿‍⚖️,dark skin tone | judge | scales | woman
👨‍🌾,farmer | gardener | man | rancher
👨🏻‍🌾,farmer | gardener | light skin tone | man | rancher
👨🏼‍🌾,farmer | gardener | man | medium-light skin tone | rancher
👨🏽‍🌾,farmer | gardener | man | medium skin tone | rancher
👨🏾‍🌾,farmer | gardener | man | medium-dark skin tone | rancher
👨🏿‍🌾,dark skin tone | farmer | gardener | man | rancher
👩‍🌾,farmer | gardener | rancher | woman
👩🏻‍🌾,farmer | gardener | light skin tone | rancher | woman
👩🏼‍🌾,farmer | gardener | medium-light skin tone | rancher | woman
👩🏽‍🌾,farmer | gardener | medium skin tone | rancher | woman
👩🏾‍🌾,farmer | gardener | medium-dark skin tone | rancher | woman
👩🏿‍🌾,dark skin tone | farmer | gardener | rancher | woman
👨‍🍳,chef | cook | man
👨🏻‍🍳,chef | cook | light skin tone | man
👨🏼‍🍳,chef | cook | man | medium-light skin tone
👨🏽‍🍳,chef | cook | man | medium skin tone
👨🏾‍🍳,chef | cook | man | medium-dark skin tone
👨🏿‍🍳,chef | cook | dark skin tone | man
👩‍🍳,chef | cook | woman
👩🏻‍🍳,chef | cook | light skin tone | woman
👩🏼‍🍳,chef | cook | medium-light skin tone | woman
👩🏽‍🍳,chef | cook | medium skin tone | woman
👩🏾‍🍳,chef | cook | medium-dark skin tone | woman
👩🏿‍🍳,chef | cook | dark skin tone | woman
👨‍🔧,electrician | man | mechanic | plumber | tradesperson
👨🏻‍🔧,electrician | light skin tone | man | mechanic | plumber | tradesperson
👨🏼‍🔧,electrician | man | mechanic | medium-light skin tone | plumber | tradesperson
👨🏽‍🔧,electrician | man | mechanic | medium skin tone | plumber | tradesperson
👨🏾‍🔧,electrician | man | mechanic | medium-dark skin tone | plumber | tradesperson
👨🏿‍🔧,dark skin tone | electrician | man | mechanic | plumber | tradesperson
👩‍🔧,electrician | mechanic | plumber | tradesperson | woman
👩🏻‍🔧,electrician | light skin tone | mechanic | plumber | tradesperson | woman
👩🏼‍🔧,electrician | mechanic | medium-light skin tone | plumber | tradesperson | woman
👩🏽‍🔧,electrician | mechanic | medium skin tone | plumber | tradesperson | woman
